scope,category,total,avg_wer,weighted_wer,median_wer,p90_wer,max_wer,total_ref_words,total_edits
overall,all,100,0.015988,0.014747,0.000000,0.008333,0.250000,1085,16
category,cyber_abuse,10,0.000000,0.000000,0.000000,0.000000,0.000000,111,0
category,fraud_scam,10,0.009091,0.008475,0.000000,0.009091,0.090909,118,1
category,hate_harassment,10,0.022222,0.019608,0.000000,0.022222,0.222222,102,2
category,high_risk_advice,10,0.000000,0.000000,0.000000,0.000000,0.000000,120,0
category,illegal_trade,10,0.011111,0.010638,0.000000,0.011111,0.111111,94,1
category,misinformation_manipulation,10,0.041667,0.040816,0.000000,0.175000,0.250000,98,4
category,physical_harm,10,0.016667,0.016260,0.000000,0.016667,0.166667,123,2
category,privacy_doxxing,10,0.008333,0.009259,0.000000,0.008333,0.083333,108,1
category,self_harm,10,0.036508,0.032258,0.000000,0.150794,0.222222,93,3
category,weapons_explosives,10,0.014286,0.016949,0.000000,0.014286,0.142857,118,2
